ID,日期,總移動距離,總時間,總爬升高度,總下降高度
drd68hw8n9,2022/01/02・1 日・,5.2 km,5 h 4 m,"1,427 m",15 m
chen1987760918,2021/10/09・1 日・,13.5 km,11 h 10 m,"1,499 m","1,589 m"
a_sun,2021/08/27・1 日・,6.9 km,1 h 41 m,386 m,375 m
m0926218612,2021/04/02・1 日・,16.7 km,13 h 27 m,"1,760 m","1,735 m"
michi_yu,2021/03/30・1 日・,10.8 km,10 h 8 m,"1,446 m","1,435 m"
c3076597,2021/04/30・1 日・,14.6 km,10 h 46 m,"1,807 m",946 m
bjy79,2021/03/27・1 日・,10 km,6 h 21 m,"1,240 m","1,389 m"
chinhuitw,2021/03/14・1 日・,8.3 km,2 h 44 m,352 m,361 m
Justin,2020/12/26・1 日・,16 km,12 h 39 m,"1,820 m","1,812 m"
josephsmchang,2021/01/11・1 日・,8.6 km,3 h 24 m,385 m,379 m
t7752577525,2020/12/26・1 日・,10.4 km,9 h 37 m,"1,437 m","1,432 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
YU-Ling-Lin,2020/12/12・1 日・,11.6 km,12 h 39 m,"1,495 m","1,502 m"
s5wdmkd5tc,2020/08/24・1 日・,10 km,11 h 18 m,"1,445 m","1,365 m"
fish.albertwu,2020/10/28・1 日・,15.9 km,11 h 14 m,"1,973 m","1,975 m"
applestudent66116020,2020/10/24・1 日・,5.6 km,6 h 39 m,"1,462 m",62 m
mildli0853,2020/10/10・1 日・,14.6 km,11 h 9 m,"1,813 m","1,856 m"
a88096778,2020/09/19・1 日・,6 km,8 h 44 m,"1,527 m",156 m
sh8309,2020/09/01・1 日・,4.9 km,6 h 3 m,"1,183 m",44 m
shunkue.chang,2020/08/24・1 日・,9.3 km,10 h 44 m,"1,323 m","1,365 m"
embezzle950422,2020/08/02・1 日・,13.4 km,10 h 26 m,"1,672 m","1,603 m"
emmahari,2020/07/22・1 日・,21.4 km,12 h 56 m,"2,099 m","2,113 m"
kangela,2019/02/28・1 日・,34.3 km,6 h 3 m,"1,366 m",49 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
wenbin.jung,2019/08/20・1 日・,9.5 km,2 h 44 m,511 m,488 m
jerry841111,2017/12/16・1 日・,8 km,8 h 21 m,"1,309 m","1,065 m"
t16345,2021/03/23・1 日・,12.2 km,7 h 33 m,434 m,"1,835 m"
weichitsao130,2025/06/07・1 日・,26.4 km,11 h 49 m,"2,766 m","2,761 m"
pao90440,2024/10/28・1 日・,12 km,7 h 20 m,"1,665 m","1,647 m"
mtyao105,2023/10/15・1 日・,12.9 km,10 h 3 m,"1,490 m","1,498 m"
ctb1677,2022/10/02・1 日・,26.3 km,14 h 43 m,"2,522 m","2,525 m"
chungyenwu1733158257,2024/12/07・1 日・,17 km,11 h 34 m,"2,336 m","1,993 m"
w292854531663467202,2024/09/15・1 日・,21.5 km,16 h 39 m,"2,344 m","2,342 m"
6-hxn-2-g-5-ppb,2023/04/16・1 日・,25.8 km,9 h 55 m,"2,870 m","2,876 m"
cythia1030,2020/08/17・1 日・,8.4 km,2 h 49 m,486 m,529 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
maiy3450,2023/04/02・1 日・,21.1 km,14 h 26 m,"2,196 m","2,125 m"
licca1672462158,2023/05/29・1 日・,6.7 km,8 h 17 m,703 m,239 m
darkblue_remote,2022/08/27・1 日・,12.9 km,4 h 36 m,"1,554 m","1,410 m"
chinovete,2022/08/21・1 日・,14.7 km,12 h 8 m,"1,777 m","1,591 m"
hsurui141,2022/07/16・1 日・,12.4 km,15 h 4 m,"1,395 m","1,601 m"
f61248,2021/12/24・1 日・,22.1 km,8 h 39 m,"2,354 m","2,054 m"
v8312002,2021/11/26・1 日・,19.1 km,10 h 12 m,"1,890 m","1,892 m"
vectraman,2021/09/19・1 日・,24.3 km,15 h 6 m,"2,253 m","2,231 m"
meng9971,2020/10/24・1 日・,19 km,13 h 26 m,920 m,575 m
dls1016,2025/06/23・1 日・,11.2 km,9 h 11 m,"1,506 m","1,501 m"
dls1016,2024/06/21・1 日・,38.1 km,4 h 32 m,"1,137 m","1,056 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
rogerkuma0109,2025/06/15・1 日・,9.7 km,8 h 34 m,"1,419 m","1,414 m"
ym5ihfc7fe,2023/05/01・1 日・,12.9 km,9 h 24 m,"1,548 m","1,541 m"
w292854531663467202,2025/06/01・1 日・,18.3 km,12 h 14 m,"2,027 m","2,034 m"
a0936165541,2025/05/14・1 日・,16 km,10 h 35 m,"1,706 m","1,729 m"
neogeo1010,2024/12/08・1 日・,12.5 km,9 h 46 m,"1,532 m","1,512 m"
joy103,2025/04/12・1 日・,8.1 km,1 h 56 m,393 m,389 m
ckjacktang,2024/12/30・1 日・,17.5 km,12 h 28 m,"1,988 m","1,986 m"
r05521526,2022/06/10・1 日・,15 km,14 h 9 m,"1,648 m","1,633 m"
fydvzyvxv6,2021/11/07・1 日・,14.2 km,13 h 43 m,"1,882 m","1,845 m"
rogerkuma0109,2025/01/05・1 日・,11.2 km,7 h 28 m,"1,424 m","1,465 m"
tl720205,2023/09/18・1 日・,11.4 km,11 h 19 m,"1,473 m","1,476 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
asd0923209698,2024/12/16・1 日・,9.9 km,12 h 4 m,"1,451 m","1,447 m"
cooty,2020/11/28・1 日・,19.6 km,13 h 12 m,"2,424 m","2,433 m"
charelschang0517,2024/12/06・1 日・,11.8 km,9 h 53 m,"1,490 m","1,492 m"
mecmar71901,2023/08/12・1 日・,12 km,12 h 14 m,"1,658 m","1,654 m"
torey69,2024/05/19・1 日・,8 km,5 h 53 m,"1,514 m",854 m
hknmtt1103,2024/11/23・1 日・,12.5 km,8 h 49 m,"1,476 m","1,486 m"
od4458,2023/07/10・1 日・,27.5 km,12 h 6 m,"1,887 m","2,049 m"
xjp6njsp6h,2024/10/21・1 日・,11.4 km,7 h 33 m,542 m,"1,957 m"
mx969637,2023/12/16・1 日・,6.5 km,3 h 34 m,387 m,238 m
kqmf74vrz9,2023/06/23・1 日・,7.6 km,8 h 4 m,"1,006 m","1,462 m"
cdg0822,2024/09/21・1 日・,8.9 km,2 h 48 m,431 m,441 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
8gwpw78pgh,2022/07/24・1 日・,9.8 km,8 h 8 m,"1,419 m","1,424 m"
rogerkuma0109,2024/07/06・1 日・,15.4 km,8 h 53 m,"1,899 m","1,919 m"
asdzxc790818,2023/10/13・1 日・,14.5 km,12 h 55 m,"1,710 m","1,679 m"
a0930098979,2023/09/24・1 日・,18.5 km,14 h 11 m,"1,954 m","1,958 m"
a0935613776,2024/02/23・1 日・,11.2 km,10 h 37 m,"1,512 m","1,507 m"
wenchi19770105,2024/02/04・1 日・,26.6 km,11 h 12 m,"1,344 m","1,332 m"
z22039017,2023/08/26・1 日・,17.2 km,13 h 49 m,"1,859 m","1,858 m"
hook064049,2022/06/05・1 日・,8.5 km,7 h,517 m,512 m
irisiva1225,2024/02/02・1 日・,11.4 km,12 h 56 m,"1,515 m","1,513 m"
p20310110,2024/07/13・1 日・,11.4 km,8 h 37 m,"1,489 m","1,468 m"
siman5458,2024/06/17・1 日・,8.4 km,3 h 4 m,374 m,361 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
nml4564,2024/03/03・1 日・,10.5 km,10 h 29 m,"1,430 m","1,507 m"
arisa527757,2024/05/18・1 日・,8.6 km,1 h 47 m,421 m,417 m
pion1602,2022/11/17・1 日・,3.1 km,5 h 37 m,317 m,218 m
m87pcjmzdg,2023/11/22・1 日・,17 km,10 h 1 m,"1,720 m","1,713 m"
lovelywen2000,2024/04/04・1 日・,8.6 km,2 h 27 m,397 m,400 m
vaspa0216,2022/06/20・1 日・,17.2 km,14 h 35 m,"1,828 m","1,828 m"
tke01,2023/09/10・1 日・,22.9 km,14 h 2 m,"1,754 m","1,774 m"
wangsophia0730,2023/07/07・1 日・,7.7 km,5 h 14 m,618 m,644 m
a0936165541,2023/06/08・1 日・,11.4 km,9 h 24 m,"1,396 m","1,481 m"
harry1d0201,2023/11/18・1 日・,4.3 km,1 h 51 m,374 m,29 m
thomasc5270,2023/12/03・1 日・,5.2 km,3 h 49 m,310 m,285 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
whs5k6mqjq,2022/07/24・1 日・,9.5 km,9 h 58 m,"1,658 m","1,684 m"
f61248,2023/11/04・1 日・,18.2 km,13 h 29 m,"1,954 m","1,946 m"
a0923334611,2023/11/18・1 日・,3 km,2 h 43 m,168 m,311 m
clairegrey1690425603,2023/11/13・1 日・,1.4 km,43 m,31 m,83 m
cksqpnd2ms,2023/11/03・1 日・,11.5 km,5 h 53 m,906 m,908 m
im-alenrod,2023/11/01・1 日・,11.9 km,8 h 53 m,"1,493 m","1,484 m"
abc1991116,2023/10/15・1 日・,10.4 km,9 h 26 m,"1,463 m","1,343 m"
7mr39fk97m,2023/09/17・1 日・,10.5 km,7 h 33 m,"1,511 m","1,525 m"
as940612,2023/07/23・1 日・,13.1 km,7 h 53 m,"1,441 m","1,378 m"
ct7k7z9grd,2023/04/30・1 日・,19.1 km,15 h 23 m,"2,082 m","2,116 m"
tsaiyuhsin1202,2023/06/22・1 日・,11.7 km,10 h 21 m,"1,541 m","1,553 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
yuanshgp,2023/06/11・1 日・,12.8 km,8 h 50 m,"1,510 m","1,524 m"
jack7837228,2023/06/03・1 日・,16.4 km,10 h 33 m,"1,849 m","1,858 m"
yam30488,2023/05/28・1 日・,20.8 km,16 h 42 m,"2,155 m","2,155 m"
s5rnhhrwn8,2023/05/21・1 日・,11.9 km,10 h 5 m,"1,433 m","1,467 m"
a0920072809,2023/05/15・1 日・,14.9 km,11 h 43 m,"1,742 m","1,742 m"
iago601020,2023/04/30・1 日・,12.8 km,8 h 56 m,715 m,"1,863 m"
jim77525,2023/04/09・1 日・,10.3 km,8 h 31 m,"1,501 m","1,567 m"
kan.ethan1655469842,2023/03/23・1 日・,12.7 km,11 h 59 m,"1,730 m","1,730 m"
senokot764649,2023/03/22・1 日・,5.3 km,7 h 19 m,"1,590 m",236 m
kh05318,2018/09/08・1 日・,3.4 km,5 h 1 m,0 m,0 m
leo199432,2022/03/12・1 日・,10.1 km,10 h 48 m,"1,460 m","1,458 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
artemisl1664083647,2022/12/10・1 日・,23.3 km,16 h 16 m,"2,576 m","2,247 m"
ken911921,2022/12/20・1 日・,11.2 km,7 h 4 m,"1,454 m","1,370 m"
kuots0109,2022/10/10・1 日・,7.8 km,1 h 48 m,442 m,499 m
grace.7276,2022/09/25・1 日・,11.4 km,8 h 40 m,"1,484 m","1,482 m"
5ew20001,2022/10/10・1 日・,10.1 km,9 h 21 m,"1,521 m","1,473 m"
j856595,2022/04/04・1 日・,10.5 km,8 h 17 m,"1,447 m","1,458 m"
maiy3450,2022/08/28・1 日・,12.8 km,9 h 51 m,"1,595 m","1,585 m"
eelieenli,2022/06/18・1 日・,18.6 km,15 h 18 m,"1,998 m","1,997 m"
a22773tim,2022/08/07・1 日・,12.9 km,6 h 42 m,"1,472 m","1,480 m"
ping92301624689871,2022/07/31・1 日・,20.7 km,12 h,"2,207 m","2,204 m"
kent1836,2022/07/10・1 日・,18.3 km,15 h 8 m,"1,924 m","1,925 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
richardmaxweng,2022/06/30・1 日・,9.2 km,3 h 35 m,420 m,441 m
everknow000,2022/06/18・1 日・,12.8 km,10 h 24 m,"1,514 m","1,516 m"
s0982970449,2022/06/05・1 日・,8.5 km,7 h,519 m,514 m
iamfine811,2022/05/30・1 日・,12.7 km,10 h 35 m,"1,783 m","1,784 m"
aa89525255888,2022/04/25・1 日・,9.9 km,8 h 26 m,"1,457 m","1,456 m"
dhj7dyr24z,2022/04/16・1 日・,10.7 km,9 h 50 m,"1,467 m","1,465 m"
crazyboy0926,2021/08/11・1 日・,5.9 km,3 h 27 m,362 m,319 m
h2jh7hyxs2,2022/03/13・1 日・,11.9 km,8 h 49 m,"1,427 m","1,465 m"
perrydreamsbig1231,2022/02/27・1 日・,10.9 km,9 h 29 m,"1,473 m","1,460 m"
see9416,2021/12/31・1 日・,15.9 km,10 h 6 m,"1,462 m","1,266 m"
jiechen0609,2021/12/20・1 日・,9.9 km,9 h 59 m,"1,529 m","1,493 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
littlerandw94,2021/11/15・1 日・,15.9 km,13 h 33 m,"1,769 m","1,756 m"
vaspa0216,2021/11/20・1 日・,11.8 km,8 h 28 m,"1,354 m","1,538 m"
h610629,2021/11/20・1 日・,11 km,10 h 5 m,"1,439 m","1,462 m"
akuo0427,2021/11/06・1 日・,10.3 km,7 h 2 m,"1,358 m","1,464 m"
tingw.,2021/04/11・1 日・,10.2 km,8 h 18 m,"1,398 m","1,396 m"
high12313,2021/09/26・1 日・,11.8 km,10 h 5 m,"1,487 m","1,404 m"
nekowang1215,2021/09/27・1 日・,10.3 km,11 h,"1,490 m","1,489 m"
yoyo50217,2020/11/28・1 日・,25.6 km,13 h 31 m,"4,356 m","4,353 m"
tiger141528,2021/09/09・1 日・,9.4 km,3 h 55 m,730 m,671 m
v77111,2021/05/15・1 日・,10.9 km,11 h 3 m,"1,402 m","1,427 m"
siman5458,2021/05/11・1 日・,9.7 km,4 h 10 m,415 m,418 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
sungpohsu88,2021/05/04・1 日・,8.5 km,2 h 10 m,405 m,419 m
b983090008,2021/05/01・1 日・,10.1 km,3 h 54 m,457 m,448 m
a_sun,2021/04/03・1 日・,6.9 km,2 h 2 m,485 m,475 m
emmatimmy613,2021/04/17・1 日・,10.1 km,3 h 48 m,480 m,471 m
famousdental99,2021/04/02・1 日・,4.5 km,1 h 38 m,90 m,430 m
real_balas,2021/03/27・1 日・,12.1 km,13 h 56 m,"1,100 m","1,250 m"
ivylin1980,2021/03/18・1 日・,15.6 km,14 h 2 m,"1,808 m","1,802 m"
fz.gumi,2021/03/20・1 日・,11.7 km,11 h 56 m,"1,558 m","1,542 m"
b90602014,2021/03/13・1 日・,8.1 km,2 h 15 m,412 m,390 m
ichiro172,2020/11/12・1 日・,18.7 km,12 h 33 m,"2,133 m","2,138 m"
winnin6688,2020/09/19・1 日・,10.4 km,10 h 5 m,"1,472 m","1,482 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
ggiiww55,2021/01/18・1 日・,14.7 km,12 h 8 m,"1,613 m","1,383 m"
s159803,2020/11/21・1 日・,18.2 km,9 h 52 m,"1,716 m","1,810 m"
azx0324,2020/11/22・1 日・,27.2 km,13 h 5 m,"2,103 m","2,070 m"
nsuijr57fu,2020/09/20・1 日・,9.9 km,9 h 46 m,"1,204 m","1,484 m"
a88096778,2020/09/20・1 日・,12.6 km,11 h 49 m,625 m,"2,012 m"
franktonydonnt,2020/09/05・1 日・,10.1 km,12 h 14 m,"1,443 m","1,533 m"
jack7837228,2020/08/15・1 日・,10.7 km,9 h 38 m,"1,476 m","1,277 m"
embezzle950422,2020/07/05・1 日・,10.1 km,8 h 10 m,"1,276 m","1,434 m"
lookmac,2020/05/10・1 日・,10.5 km,14 h 14 m,"1,576 m","1,467 m"
fan.c0818,2019/08/03・1 日・,9.6 km,4 h 23 m,549 m,553 m
a108122000,2020/04/18・1 日・,2.7 km,4 h 9 m,765 m,8 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
brett80610,2019/02/04・1 日・,4 km,3 h 20 m,256 m,278 m
shyeric1976,2018/09/29・1 日・,4.6 km,6 h 11 m,"1,238 m",0 m
ytw229,2018/09/01・1 日・,24.1 km,2 h 28 m,316 m,0 m
alulu67,2025/05/23・1 日・,2.5 km,1 h 25 m,171 m,200 m
daty1721030370,2025/06/09・1 日・,17 km,8 h 36 m,"1,891 m","1,882 m"
e2871002,2025/06/09・1 日・,21.7 km,11 h 16 m,"1,919 m","1,917 m"
eddielin12345,2025/04/04・1 日・,20.5 km,9 h 21 m,"2,225 m","2,216 m"
arctax,2024/12/01・1 日・,17 km,10 h 18 m,"2,036 m","2,045 m"
a1234567896363,2023/05/22・1 日・,15.4 km,9 h 7 m,"2,195 m",916 m
chiu572613,2024/08/11・1 日・,26 km,12 h 6 m,"2,804 m","2,800 m"
yuan1215,2024/07/07・1 日・,20 km,10 h 51 m,"2,247 m","2,244 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
jkzf8dmv5c,2023/11/25・1 日・,15.6 km,11 h 57 m,"2,458 m","2,523 m"
ruruhuang76,2023/08/11・1 日・,10.6 km,7 h 50 m,"1,162 m","1,437 m"
hugo_hy,2023/05/20・1 日・,4.7 km,1 h 42 m,212 m,217 m
yochien1,2022/07/16・1 日・,27.5 km,16 h 36 m,"2,546 m","2,501 m"
sean7607,2022/07/22・1 日・,33.7 km,14 h 8 m,"4,853 m","4,816 m"
baa1993cc,2022/06/26・1 日・,15.9 km,12 h 39 m,"1,837 m","1,775 m"
polybu0917,2022/06/19・1 日・,12 km,9 h 5 m,"1,468 m","1,472 m"
sandy781227,2022/01/15・1 日・,10 km,11 h 30 m,"1,437 m","1,423 m"
studio810401,2021/10/10・1 日・,16.9 km,13 h 34 m,"1,854 m",849 m
