ID,日期,總移動距離,總時間,總爬升高度,總下降高度
mina900629,2024/03/16・1 日・,9.5 km,5 h 25 m,509 m,499 m
sirrah.tw,2023/09/23・1 日・,12 km,11 h 28 m,"1,614 m","1,575 m"
bigbird,2024/07/19・1 日・,4.1 km,1 h 55 m,199 m,198 m
hlw91,2023/10/02・1 日・,11.9 km,10 h 42 m,"1,536 m","1,492 m"
klin001,2023/04/09・1 日・,12.2 km,8 h 47 m,"1,533 m","1,525 m"
rpfcy5vys9,2024/07/14・1 日・,12.2 km,10 h 22 m,"1,547 m","1,552 m"
j7jwg4mvv9,2023/11/08・1 日・,8.6 km,11 h 11 m,"1,420 m","1,484 m"
ivon594386,2024/07/06・1 日・,14.7 km,11 h 43 m,"1,916 m","1,918 m"
nill.cheng1992,2024/03/17・1 日・,8.4 km,5 h 53 m,498 m,870 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
gamesimulator,2024/01/27・1 日・,3.3 km,59 m,287 m,22 m
bluejoe062784,2024/06/17・1 日・,6.4 km,5 h 43 m,"1,382 m",82 m
a0915050335,2024/06/15・1 日・,12.8 km,13 h 16 m,"1,558 m","1,474 m"
hogg1112,2023/09/30・1 日・,15.9 km,14 h 3 m,"1,769 m","1,771 m"
lattemilk1713353984,2024/06/16・1 日・,10.9 km,13 h 2 m,"1,146 m","1,559 m"
love062321,2022/02/14・1 日・,10.5 km,4 h 42 m,"1,406 m","1,450 m"
aitokafu930,2024/06/10・1 日・,9.6 km,3 h 10 m,357 m,336 m
sf0304,2022/04/16・1 日・,13 km,11 h 32 m,"1,489 m","1,494 m"
w4y6xxhvby,2023/12/13・1 日・,5.1 km,8 h,611 m,604 m
n12473,2021/05/14・1 日・,6.4 km,6 h,"1,330 m","1,228 m"
panyunu1667896460,2024/05/25・1 日・,11.3 km,8 h 35 m,"1,144 m","1,494 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
cobra1971,2024/05/24・1 日・,8.4 km,2 h 25 m,415 m,406 m
Iamkazen1646105559,2022/08/07・1 日・,12.3 km,14 h 8 m,"1,507 m","1,502 m"
Iamkazen1646105559,2022/12/18・1 日・,7.6 km,3 h 21 m,424 m,416 m
juiyine0923,2024/04/21・1 日・,15.3 km,10 h 23 m,"1,951 m","1,950 m"
b02609074,2024/05/19・1 日・,4 km,6 h 22 m,326 m,140 m
wuzxezys8u,2021/04/14・1 日・,5.4 km,1 h 42 m,258 m,250 m
pion1602,2022/11/18・1 日・,6.2 km,5 h 6 m,38 m,"1,436 m"
chc0328,2024/05/05・1 日・,10.9 km,8 h 25 m,"1,505 m","1,504 m"
u823414,2023/12/31・1 日・,12.2 km,16 h 37 m,"1,478 m","1,480 m"
bchiou,2022/08/27・1 日・,15.8 km,11 h 34 m,"1,773 m","1,793 m"
lisa771220tw16494707,2024/04/21・1 日・,9.8 km,10 h 48 m,"1,505 m","1,509 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
sally51432,2021/12/11・1 日・,11.3 km,11 h 27 m,"1,492 m","1,490 m"
tc21lin,2023/11/11・1 日・,18 km,9 h 49 m,"1,812 m","1,897 m"
alanchuang1711619278,2024/03/30・1 日・,10.5 km,8 h 15 m,"1,165 m","1,399 m"
junliouchang16716945,2023/08/12・1 日・,11.2 km,9 h 39 m,"1,482 m","1,184 m"
may86529,2024/03/28・1 日・,4.4 km,3 h 37 m,48 m,"1,371 m"
karenyeh,2024/03/03・1 日・,16.3 km,10 h 48 m,"1,663 m","1,844 m"
prsh313027,2022/11/10・1 日・,17.7 km,12 h 1 m,"1,930 m","1,925 m"
fp18091920,2024/03/21・1 日・,8.3 km,2 h 7 m,401 m,406 m
rogerkuma0109,2024/03/16・1 日・,5.6 km,5 h 6 m,736 m,782 m
circlering2001,2022/07/03・1 日・,13.7 km,11 h 18 m,"1,524 m","1,586 m"
riverchang0312,2024/03/04・1 日・,5.2 km,2 h 45 m,35 m,"1,427 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
riverchang0312,2024/03/04・1 日・,2.9 km,2 h 18 m,322 m,161 m
riverchang0312,2024/03/03・1 日・,5.5 km,5 h 14 m,"1,454 m",64 m
4wc884ddb8,2023/06/17・1 日・,11.8 km,11 h 16 m,"1,415 m","1,527 m"
tearless618,2023/12/05・1 日・,20.1 km,6 h 55 m,"1,131 m","1,372 m"
soldier0083,2024/02/14・1 日・,15.1 km,14 h 48 m,"1,650 m","1,613 m"
nightstalker911mmu,2023/03/13・1 日・,6.5 km,2 h 41 m,389 m,355 m
yienhu1999,2023/09/16・1 日・,17.6 km,14 h 47 m,"1,634 m","1,635 m"
jun765,2023/10/14・1 日・,17.5 km,10 h 11 m,"1,868 m","1,840 m"
yaorama1702272478,2023/12/25・1 日・,4.9 km,2 h 18 m,347 m,89 m
georgekplin166364968,2023/11/12・1 日・,7.1 km,2 h 51 m,266 m,425 m
andychung1126,2023/12/26・1 日・,7.9 km,1 h 48 m,401 m,403 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
jay520ape,2023/12/17・1 日・,12.1 km,5 h 14 m,"1,229 m",46 m
ww0933967363,2023/11/04・1 日・,11.4 km,9 h 24 m,"1,580 m","1,576 m"
yihling0910,2023/12/03・1 日・,10 km,8 h 5 m,"1,584 m","1,577 m"
lsst40735,2023/12/03・1 日・,6.7 km,4 h 31 m,784 m,632 m
smftrh9yth,2023/11/28・1 日・,3.3 km,1 h 21 m,166 m,167 m
dopeball999,2023/11/26・1 日・,11.7 km,11 h 12 m,"1,590 m","1,599 m"
na762004,2023/11/25・1 日・,10.8 km,10 h 51 m,"1,487 m","1,479 m"
jhuangbosheng,2023/11/25・1 日・,15.2 km,9 h 37 m,"1,610 m","1,612 m"
eaidboy,2022/06/03・1 日・,3.3 km,4 h 36 m,30 m,"1,248 m"
chen3131,2023/11/18・1 日・,9.2 km,3 h 57 m,457 m,461 m
vivianchao38,2023/11/06・1 日・,8 km,2 h 38 m,444 m,446 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
ycy123666,2022/02/28・1 日・,10.1 km,13 h 17 m,"1,536 m","1,440 m"
wzm5p6gbnb,2023/11/04・1 日・,5.3 km,7 h 8 m,"1,440 m",32 m
a6629560,2023/10/31・1 日・,8.9 km,2 h 47 m,460 m,496 m
chuan862942,2023/10/27・1 日・,9.9 km,8 h 46 m,"1,532 m",513 m
s597798,2023/10/28・1 日・,11.5 km,7 h 7 m,"1,544 m","1,542 m"
devinchen.888,2023/10/28・1 日・,7.5 km,2 h 18 m,439 m,338 m
vivianchao38,2023/10/18・1 日・,18.1 km,15 h 23 m,"1,923 m","1,930 m"
ytchang,2022/07/03・1 日・,2.9 km,1 h 4 m,222 m,40 m
vivianchao38,2023/10/17・1 日・,8.5 km,2 h 35 m,445 m,456 m
jinranra1694696445,2023/10/01・1 日・,38.8 km,21 h,"2,429 m","3,426 m"
ivy9729,2023/10/15・1 日・,12.4 km,8 h 50 m,"1,582 m","1,499 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
garyshu183,2023/10/14・1 日・,11 km,9 h 19 m,"1,635 m","1,639 m"
rogerkuma0109,2023/09/24・1 日・,9.3 km,7 h 6 m,"1,434 m","1,367 m"
slashkuo0924,2023/10/09・1 日・,12.7 km,8 h 32 m,"1,504 m","1,494 m"
2htkcg2788,2023/10/08・1 日・,8.7 km,3 h 2 m,399 m,427 m
w52c5jpnib,2023/09/24・1 日・,11.7 km,3 h 49 m,430 m,545 m
j690818s,2023/09/24・1 日・,13.7 km,9 h 29 m,"1,510 m","1,509 m"
hsing1682003,2023/09/16・1 日・,14.9 km,12 h 7 m,"1,655 m","1,652 m"
polybu0917,2023/09/10・1 日・,8.4 km,3 h 36 m,412 m,388 m
liaowh66,2022/11/22・1 日・,15.5 km,12 h 20 m,713 m,"1,896 m"
claire.cheng1211,2023/04/02・1 日・,10.7 km,10 h 43 m,"1,566 m","1,566 m"
gina.sie0313,2023/08/26・1 日・,11.1 km,13 h 25 m,"1,503 m","1,506 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
afpsharon,2022/07/30・1 日・,12 km,9 h 11 m,"1,523 m","1,518 m"
s890128,2023/04/07・1 日・,4 km,2 h 55 m,343 m,432 m
f137362,2023/04/02・1 日・,8.4 km,2 h 45 m,447 m,436 m
hasamiusaki167642577,2023/03/19・1 日・,15.3 km,12 h 44 m,"2,234 m","2,226 m"
chan761001,2022/11/13・1 日・,13.4 km,11 h 39 m,"1,819 m","1,816 m"
brenda0109,2023/02/26・1 日・,8.6 km,5 h 46 m,"1,034 m",941 m
q0910892765,2022/12/03・1 日・,17.8 km,14 h 24 m,"1,957 m","1,969 m"
chc0328,2023/01/20・1 日・,6.2 km,3 h 8 m,110 m,"1,439 m"
flute780613,2022/10/08・1 日・,12.1 km,9 h 34 m,"1,493 m","1,456 m"
chc0328,2023/01/19・1 日・,5.4 km,8 h 16 m,700 m,604 m
arhachu,2019/06/08・1 日・,21.7 km,5 h 58 m,"1,406 m","1,717 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
ch59276496,2022/01/01・1 日・,12.5 km,14 h 29 m,"1,536 m","1,601 m"
cyw5937,2022/10/30・1 日・,12.3 km,11 h 26 m,554 m,"1,889 m"
s42204220,2022/10/10・1 日・,1.8 km,1 h 36 m,202 m,148 m
s42204220,2022/10/10・1 日・,7 km,5 h 31 m,"1,425 m",26 m
8dysrn7r44,2022/10/20・1 日・,13.9 km,12 h 43 m,"1,901 m","1,894 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
w292854531663467202,2022/10/13・1 日・,12.2 km,8 h 45 m,"1,483 m","1,486 m"
182artspace,2022/10/09・1 日・,11.2 km,11 h 58 m,"1,450 m","1,456 m"
king.67beryl,2022/10/02・1 日・,21.7 km,16 h 20 m,"1,966 m","2,087 m"
5tm7nqv5zg,2022/09/17・1 日・,12.2 km,11 h 33 m,"1,614 m","1,610 m"
rds4jk8gx6,2022/09/10・1 日・,10.7 km,10 h 10 m,"1,767 m","1,801 m"
w0913551997,2022/08/22・1 日・,12.2 km,8 h 56 m,"1,489 m","1,489 m"
whklsh1651222240,2022/08/27・1 日・,13.8 km,11 h 43 m,"1,844 m","1,905 m"
chu658686,2022/08/14・1 日・,5.8 km,6 h 24 m,"1,555 m",121 m
201219,2022/08/14・1 日・,14.5 km,9 h 13 m,"1,479 m","1,448 m"
a0933065983,2022/08/13・1 日・,11.3 km,9 h 15 m,"1,504 m","1,418 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
ttiinngg23,2022/06/19・1 日・,3.7 km,4 h 44 m,258 m,175 m
toto1972,2022/06/13・1 日・,16.6 km,14 h 18 m,"1,845 m","1,846 m"
t-07102001,2022/05/23・1 日・,10.6 km,10 h 59 m,"1,638 m",413 m
giselejt,2022/04/18・1 日・,13.9 km,14 h 24 m,"1,590 m","1,599 m"
haha950221,2021/03/21・1 日・,10.9 km,11 h 44 m,"1,242 m","1,442 m"
ginalin1001,2022/04/16・1 日・,10.8 km,11 h 25 m,"1,451 m","1,457 m"
v47v4js2hw,2022/04/02・1 日・,8.7 km,3 h 33 m,418 m,387 m
wenkai.yang,2022/03/19・1 日・,5 km,7 h 43 m,"1,444 m",18 m
crazy6322,2021/05/14・1 日・,15.4 km,13 h 24 m,"1,729 m","1,729 m"
oris3663,2021/12/18・1 日・,8.4 km,2 h 38 m,505 m,501 m
pony.lan,2022/01/01・1 日・,4.7 km,2 h 59 m,198 m,876 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
ding-0916,2022/01/01・1 日・,12.3 km,11 h 47 m,"1,484 m","1,495 m"
hess12333,2021/12/12・1 日・,9.8 km,8 h 42 m,"1,106 m","1,464 m"
stevenjmhwang,2021/11/28・1 日・,10.5 km,8 h 53 m,"1,520 m","1,082 m"
andylin1961,2021/11/25・1 日・,5.1 km,6 h 35 m,"1,421 m",20 m
andylin1961,2021/11/26・1 日・,4.9 km,4 h 23 m,14 m,"1,426 m"
crystalisme00,2021/11/27・1 日・,8 km,2 h 26 m,929 m,808 m
coldnestea,2021/11/21・1 日・,16.9 km,14 h 51 m,"1,778 m","1,761 m"
peach6115,2021/11/07・1 日・,16.8 km,12 h 2 m,"1,808 m","1,803 m"
4g7tcg2gkj,2021/11/03・1 日・,8.9 km,7 h 15 m,"1,452 m",889 m
b03702090,2021/10/10・1 日・,16 km,13 h 53 m,"1,690 m","1,685 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
tien8146,2021/08/17・1 日・,11.4 km,10 h 42 m,"1,451 m","1,463 m"
nekowang1215,2021/08/11・1 日・,6.8 km,3 h 26 m,396 m,398 m
grantslam33,2021/09/24・1 日・,12.2 km,3 h 31 m,412 m,542 m
George1014,2021/08/29・1 日・,15.1 km,8 h 21 m,"1,416 m","1,507 m"
stevenwei326,2021/09/04・1 日・,10.4 km,10 h 30 m,"1,452 m","1,453 m"
eponie82,2021/05/11・1 日・,12.4 km,11 h 18 m,"1,490 m","1,483 m"
halfwaytuu49,2021/05/08・1 日・,8.3 km,10 h 37 m,"1,029 m","1,234 m"
kevin770727,2021/05/01・1 日・,10.9 km,9 h 48 m,"1,434 m","1,482 m"
tyf0220,2021/05/01・1 日・,10.5 km,8 h 54 m,"1,452 m","1,204 m"
elaina.chang,2021/02/10・1 日・,7.9 km,1 h 10 m,127 m,293 m
famousdental99,2021/04/02・1 日・,12.3 km,10 h 20 m,"1,557 m","1,488 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
harry.clchen,2021/04/01・1 日・,7.2 km,1 h 53 m,334 m,353 m
johnny47852002,2021/03/27・1 日・,10.7 km,9 h 2 m,"1,455 m","1,438 m"
jylynn1229,2020/12/20・1 日・,18.2 km,7 h 59 m,"1,536 m","1,578 m"
jackyckperson,2020/12/23・1 日・,14.7 km,14 h 35 m,"1,690 m","1,760 m"
t6431572,2021/01/30・1 日・,11.9 km,12 h 42 m,"1,488 m","1,492 m"
dhcbrock,2019/09/21・1 日・,9.5 km,1 h 40 m,105 m,0 m
chiyuan_hu,2020/10/11・1 日・,4.7 km,7 h 17 m,"1,369 m",39 m
isabel_0602,2020/11/29・1 日・,5 km,9 h 1 m,964 m,35 m
iamblue13,2021/01/08・1 日・,7.9 km,2 h 52 m,339 m,424 m
fullton0228,2020/12/30・1 日・,7.6 km,12 h 29 m,"1,130 m",331 m
owenyhchen,2020/12/05・1 日・,2.2 km,1 h 1 m,103 m,117 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
plenty3344828,2020/11/15・1 日・,18.6 km,12 h 25 m,"1,861 m","1,869 m"
premetec2006,2019/11/16・1 日・,2.3 km,3 h 38 m,732 m,84 m
wm19920804,2020/10/24・1 日・,11.4 km,11 h 16 m,"1,520 m","1,501 m"
h480312,2020/09/13・1 日・,3.3 km,5 h 52 m,215 m,520 m
q5c6f7s2a8,2020/10/02・1 日・,17.1 km,14 h 41 m,"2,021 m","2,018 m"
tbscojp0424,2020/09/26・1 日・,7.3 km,1 h 55 m,465 m,463 m
jinne2004,2020/07/15・1 日・,1.4 km,48 m,287 m,53 m
chiungwen68,2020/07/22・1 日・,17.8 km,12 h 1 m,"1,960 m","1,962 m"
ans15637,2020/07/31・1 日・,11.4 km,11 h 6 m,"1,560 m","1,550 m"
shapy0826,2020/04/26・1 日・,11.9 km,11 h,"1,520 m","1,526 m"
tingchen530,2019/08/31・1 日・,14.7 km,16 h 2 m,"1,224 m","1,396 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
taipeiliu38,2019/10/07・1 日・,14.1 km,13 h 42 m,"1,314 m","1,725 m"
prince004001,2020/04/19・1 日・,7.1 km,10 h 24 m,"1,309 m",755 m
anson.hu888,2019/12/20・1 日・,8.3 km,8 h 29 m,"1,661 m",356 m
kp.huang,2020/03/06・1 日・,3.4 km,5 h 53 m,"1,320 m",0 m
minerhy,2019/12/25・1 日・,11.1 km,10 h 47 m,"1,547 m","1,545 m"
anson.hu888,2019/12/21・1 日・,8.3 km,4 h 31 m,190 m,"1,551 m"
shouchiung,2019/10/12・1 日・,6.4 km,10 h 20 m,"1,182 m",398 m
clairericnopets,2019/08/03・1 日・,4.8 km,2 h 58 m,347 m,340 m
pearl20036,2019/05/11・1 日・,0.9 km,57 m,370 m,76 m
meganpai6,2019/04/10・1 日・,13.3 km,2 h 41 m,"1,559 m","1,613 m"
meganpai6,2019/04/05・1 日・,4 km,4 h 56 m,"2,188 m","1,034 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
ward1706,2019/04/10・1 日・,13.3 km,2 h 41 m,"1,559 m","1,613 m"
wu3392,2019/03/18・1 日・,6.3 km,1 h 51 m,423 m,413 m
amao1552232412,2018/12/15・1 日・,6.5 km,8 h 49 m,"1,291 m",861 m
kangela,2019/03/01・1 日・,12.8 km,3 h 26 m,24 m,961 m
